,ticker,netIncome,ROA,sharesOutstanding,earningsYield,increaseDaysSalesOutstanding,declinesInDepreciation,retainedEarningsToTotalAssets,operatingCashflow,ltDebtVsAssets,grossMargins,returnOnCapital,growingDaysSalesOfInventory,salesToAssets,returnOnTotalAssets,qualityOfEarnings,currentRatio,assetTurnover,netIncomeMinusCashflow,increasingCurrentAssetsOverRevenues,workingCapitalToTotalAssets,marketCapToTotalLiabilities,futurePerformance,,,,,,
0,NNA,-65441000,0.043187583,-6761000,-0.148989898,0.081221548,11012000,6.43E-10,29244000,-0.191022197,0.022850316,0.230850627,-1138.669727,0.180028985,0.032112754,49965999.82,0.471226218,0.035515541,-94685000,-0.11978844,-0.082220244,0.050976449,85%,,,,Categories,Cumulative,Bins
1,ATER,-58789000,-0.222711438,-4353000,-0.905440439,-0.027308749,-75000,1.34E-08,-25200000,-0.011167654,0.144955207,-0.049209989,1.381433507,1.53782382,-0.730046759,-54333001.54,1.371867133,0.368178958,-33589000,-0.191019861,0.265949156,10.1259243,-5%,,,,-100%,0,0
2,ALEX,-36400000,-0.069008726,-500000,0.035818006,-0.03976415,9100000,4.80E-10,157600000,0.073889553,-0.019333924,-0.004580607,16.92269072,0.211341937,0.01803963,37599999.79,1.64140625,0.017410421,-194000000,-0.158124041,0.039389723,1.770778468,141%,,,,-95%,1,1
3,AVGR,-19450000,0.159178922,2254000,-0.831615096,0.046227068,90000,4.20E-08,-17264000,,1.856807674,0.260189059,0.021178202,0.383252886,-0.812549843,-19359000.38,1.299968721,-0.275151144,-2186000,0.667903233,0.161007345,4.573892499,268%,,STDev,1.920792351,-90%,4,3
4,AVTR,37800000,0.010267787,0,0.0202977,-0.537758556,299700000,1.02E-10,354000000,-0.162742825,0.019682855,0.018462861,6.698548303,0.618040989,0.060522035,591499999.4,1.881340158,0.498632575,-316200000,-1.135428996,0.096896647,3.658956929,-30%,,Mean,53%,-85%,12,8
5,AINC,-13855000,0.000877155,,-4.471025247,-0.266172151,33345000,1.28E-09,24699000,-0.044502488,0.156119802,0.299112485,68.75435393,0.263363578,0.00461853,3613999.737,1.080115709,-0.263576584,-38554000,-0.777809968,0.007326518,0.152932878,211%,,Medium,22%,-80%,22,10
6,CRSP,66858000,0.36884142,,0.069665838,0.063019291,1701000,9.37E-10,56677000,-2.75E-09,1.738296471,0.012408154,248593000,0.271468907,0.043815245,46739999.73,17.29322663,0.120381366,10181000,-2.648458308,0.87221866,70.50350672,-44%,,max,7190%,-75%,32,10
7,KYN,-127045000,0.007550087,0,0.68030689,-0.21313229,0,3.33E-10,309098000,-0.057260284,1.663880424,0.034260739,27949000,0.016256764,-0.000230864,-693000.0163,0.009721131,0.010123207,-436143000,-0.274815504,-0.104930897,0.803016325,281%,,,,-70%,42,10
8,AJG,668800000,0.004944333,,0.043669402,0.169818298,94700000,5.09E-11,1119200000,0.0149784,0.022484885,0.007341853,843300000,0.351121478,0.039032738,766399999.6,1.022026679,-0.054714991,-450400000,0.121113467,0.010007741,2.170701768,-14%,,,,-65%,60,18
9,ABEO,-76282000,-0.011581348,-108425000,-0.315300539,,7936000,4.48E-09,-62820000,,-77089966.74,-0.402125992,-836999,4.48E-09,-0.345103903,-77090000,3.420841839,-0.004682094,-13462000,132389832,0.419411591,2.724773091,57%,,,,-60%,81,21
