,ticker,netIncome,ROA,sharesOutstanding,earningsYield,increaseDaysSalesOutstanding,declinesInDepreciation,retainedEarningsToTotalAssets,operatingCashflow,ltDebtVsAssets,grossMargins,returnOnCapital,growingDaysSalesOfInventory,salesToAssets,returnOnTotalAssets,qualityOfEarnings,currentRatio,assetTurnover,netIncomeMinusCashflow,increasingCurrentAssetsOverRevenues,workingCapitalToTotalAssets,marketCapToTotalLiabilities,futurePerformance
0,NNA,False,True,True,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,0.8484848740270896
1,ATER,False,False,True,False,True,False,True,False,True,True,False,True,False,True,False,True,True,True,False,True,False,-0.04533677644360137
2,ALEX,False,False,True,False,True,True,True,True,False,False,False,True,True,True,True,True,True,True,False,True,False,1.4075509218697926
3,AVGR,False,True,False,False,False,True,True,False,False,True,True,True,True,True,False,True,False,True,True,True,False,2.6769760168121963
4,AVTR,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,False,-0.2990527781517818
5,AINC,False,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,2.1129272962206653
6,CRSP,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,-0.436769401489376
7,KYN,False,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,2.808184147433168
8,AJG,True,True,False,False,False,True,True,True,False,True,False,True,True,True,True,True,False,True,True,True,False,-0.1364791045076484
9,ABEO,False,False,True,False,False,True,True,False,False,False,False,False,True,True,False,True,False,True,True,True,False,0.5683059116145869
10,BY,True,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,True,True,0.7375820790028446
11,EXSR,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,0.29508196721311475
12,LEVL,True,False,False,True,True,False,True,True,False,True,False,False,True,True,True,True,False,False,True,True,True,0.6175895313774996
13,TYCB,True,False,True,True,False,False,True,True,False,False,False,False,True,True,True,True,False,True,False,True,True,0.039156602626097284
14,PNBK,False,False,False,False,False,True,True,False,True,False,False,False,True,True,False,True,False,False,True,True,True,1.1888113491249246
15,HWBK,True,False,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,0.40023342209070345
16,SVA,True,True,False,True,False,False,True,True,True,True,True,False,True,False,True,True,False,False,True,True,False,0.0
17,SQBG,False,False,True,False,True,True,True,True,False,False,False,False,True,False,True,True,True,True,False,True,True,-0.9423503376345241
18,UBX,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False,True,False,True,True,True,False,0.9538905342671737
19,MRLN,True,False,False,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,2.5369031944639966
20,RBKB,True,False,False,True,True,True,True,True,False,False,False,True,True,True,True,True,False,True,True,True,True,0.636792394477476
21,EVBN,True,False,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,0.6638086275163274
22,SBKK,True,False,False,True,True,True,True,True,False,True,False,True,True,True,True,True,False,True,False,True,True,0.35591137734649986
23,BVS,True,True,False,True,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,-0.0
24,FNCB,True,True,True,True,True,False,True,True,True,False,False,True,True,True,True,True,True,True,False,True,True,0.5538461961689801
25,EBS,True,True,False,False,True,True,True,True,False,False,False,True,True,False,True,True,False,True,False,True,False,-0.49251687993223026
26,RILY,True,False,True,True,False,True,True,False,False,True,False,True,True,True,True,True,True,False,False,True,True,-0.003177121633696351
27,PDLB,False,True,False,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,False,True,True,0.7746649972139004
28,ERIE,True,False,True,False,True,True,True,True,False,False,False,True,False,False,True,True,True,True,False,True,False,-0.06487631006736352
29,CODI,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,False,0.10434778185858243
30,CPT,True,False,False,False,True,True,True,True,False,False,False,True,True,True,True,True,True,True,False,True,False,0.2584639953152291
31,CORT,True,False,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,-0.1864009056887625
32,KCLI,True,True,True,False,True,True,True,True,True,False,False,True,True,True,True,True,False,False,True,True,True,0.01874995231628418
33,NWHM,False,False,False,True,True,False,True,True,False,False,False,False,False,True,True,True,False,True,True,True,True,-0.058568323884338136
34,EW,True,False,True,False,True,True,True,True,False,False,False,True,True,False,True,True,True,True,False,True,False,-0.037037122495467006
35,FTV,True,False,True,True,False,True,True,True,True,False,False,False,True,True,True,True,False,True,True,True,False,-0.052301279703776044
36,ISDR,True,False,False,False,True,True,True,True,False,False,False,True,True,True,True,True,False,True,True,True,False,-0.36285716465541296
37,CCO,False,False,True,False,False,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,1.877550896283541
38,CRVS,False,False,False,False,False,False,True,False,False,True,True,False,True,True,False,True,True,True,False,True,False,-0.09768640210622277
39,CWST,True,False,True,False,True,True,True,True,True,False,False,True,True,False,True,True,False,True,False,True,False,-0.13592791743345178
40,SM,False,False,True,False,True,True,True,True,True,False,False,True,True,True,False,True,True,True,False,True,True,4.723404391581465
41,COHN,False,True,True,True,True,True,True,False,True,False,False,True,True,True,False,True,False,False,True,True,True,-0.8155339830664085
42,CRY,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,False,0.5722040697352337
43,CUZ,True,False,False,False,False,True,True,True,False,False,False,True,True,True,True,True,False,True,True,True,False,0.3771407609056881
44,OFC,True,True,False,False,False,True,True,True,True,False,False,True,True,True,True,True,False,True,False,True,False,0.32034434946015206
45,RXN,True,False,False,False,True,False,True,True,True,False,False,True,True,False,True,True,True,True,True,True,False,-0.03230289251829107
46,CXP,True,False,True,True,True,False,True,True,True,False,False,False,True,True,True,True,True,True,True,True,False,1.0226842885490395
47,INT,True,True,False,True,True,False,True,True,True,True,True,False,False,False,True,True,True,True,False,True,True,0.8464383265195468
48,FKYS,True,True,True,True,True,False,True,True,False,True,False,True,True,True,True,True,True,True,False,True,True,0.19047621450426647
49,DWSN,False,True,False,False,True,False,True,True,False,True,True,False,False,True,False,True,True,True,False,True,False,0.2339180397810453
50,MATW,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,True,True,0.5923861550226314
51,FRST,True,False,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,0.8763635808771307
52,EML,True,False,True,False,False,True,True,True,False,True,True,True,True,False,True,True,False,True,False,True,True,0.24217615158581757
53,GFF,True,True,True,True,True,True,True,True,False,True,True,False,False,False,True,True,True,True,False,True,True,0.07432788078276303
54,DLR,True,True,True,False,True,True,True,True,False,False,False,True,True,True,True,True,True,True,False,True,False,-0.09253541674614524
55,WWE,True,False,False,False,False,True,True,True,True,True,False,True,True,False,True,True,False,True,False,True,False,0.8672751879944559
56,EH,False,True,True,False,False,True,True,False,False,True,True,False,True,True,False,True,True,False,False,True,False,-1.115207369221371
57,ECOL,True,False,False,False,False,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,1.0262988995124578
58,ENVA,True,False,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,False,0.3758599321394213
59,WRE,True,False,True,False,True,True,True,True,True,False,False,True,True,True,True,True,False,False,False,True,False,0.4273816440968699
60,FVCB,True,False,False,True,True,True,True,True,True,False,False,True,True,True,True,True,False,True,True,True,True,0.9216931443329088
61,NICK,True,True,False,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,False,True,True,0.27591033992011976
62,NWYF,True,True,True,True,True,False,True,True,True,True,False,False,True,True,True,True,True,False,True,True,True,0.46118724006386747
63,LBTYA,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,0.24084027701747315
64,JMP,False,True,False,True,True,True,True,False,True,False,False,False,True,True,False,True,True,False,False,True,True,0.49166657560401855
65,SAND,True,True,False,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,-0.251533719000025
66,GLYC,False,False,False,False,False,True,True,False,True,False,False,False,True,True,False,True,False,True,True,True,False,0.34638550604595775
67,OPY,True,False,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,0.4648086970772698
68,PEB,True,True,False,False,True,True,True,True,False,False,True,True,True,True,True,True,False,True,False,True,False,1.36394546734663
69,IFRX,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False,True,True,True,False,True,False,-0.37136463653859303
70,SMP,True,True,True,True,True,True,True,True,False,False,False,False,False,False,True,True,False,True,True,True,False,0.1225064807775429
71,VCYT,False,True,True,False,True,True,True,False,True,True,False,True,True,True,False,True,False,True,True,True,False,-0.1266689137815705
72,PSHG,False,True,True,False,False,False,True,False,False,False,True,False,True,True,False,True,False,True,True,True,True,0.5689656076051418
73,USAK,False,False,False,True,True,True,True,True,True,True,True,False,False,True,True,True,False,True,False,True,True,-0.08169596231852327
74,WELL,True,False,True,False,False,True,True,True,False,False,False,True,True,True,True,True,False,True,True,True,False,0.7140107607355171
75,VBIV,False,True,False,False,False,True,True,False,False,True,False,True,True,True,False,True,True,True,False,True,False,-0.8305647866846787
76,WFRD,True,False,True,True,False,False,True,False,True,True,True,True,True,True,False,True,True,False,False,True,True,-0.0
77,MWA,True,True,True,False,True,True,True,True,True,True,True,False,True,False,True,True,True,True,False,True,False,0.04646665047974527
78,MERC,False,False,True,False,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,True,True,1.0445468435725136
79,MHK,True,False,False,True,True,True,True,True,True,False,False,False,True,False,True,True,False,True,True,True,False,0.2851108856398033
80,MTD,True,False,False,False,True,True,True,True,False,True,False,True,False,False,True,True,True,True,False,True,False,-0.26216644256373417
81,MPW,True,False,True,False,False,True,True,True,True,False,False,True,True,True,True,True,False,True,True,True,False,0.17353844275841346
82,SILK,False,True,True,False,True,True,True,False,True,True,False,True,True,True,False,True,True,True,False,True,False,-0.48066714806856575
83,RSLS,False,True,False,False,True,True,True,False,False,True,True,True,True,True,False,True,True,True,False,True,False,1.4713959428060026
84,PW,True,False,True,True,True,True,True,True,False,True,False,True,True,True,True,True,False,True,True,True,False,-0.4532335626501362
